English,Punjabi,Time
hamri kro hath dai rchcha. pooran hoeh chit ki eichcha.,hmrI kro hwQ dY r`Cw ] pUrn hoie icq kI ie`Cw ],0
tav charnan mun rehai hmara. apna jan kro pritipara. (1),qv crnn mn rhY hmwrw ] Apnw jwn kro pRiqpwrw ]1],8
hamrai dust sabhai tum ghao aapu hath dai moeh bachavo;,hmry dust sBY qum Gwvhu ] Awpu hwQ dY moih bcwvhu ],11
sukhi basaimoro privara saivak sikh sbhai kartara. (2),suKI bsY moro pirvwrw ] syvk is`K sBY krqwrw ]2],15
mo rchcha nij kr dai kriye. sabh bairn ko aij sunghriye.,mo r`Cw inj kr dY kirXY ] sB bYrn ko Awj sMGirXY ],18
pooran hoeh hmari aasa. tor bhjan ki rehai piaasa. (3),pUrn hoie hmwrI Awsw ] qor Bjn kI rhY ipAwsw ]3],22
tumeh chadi koei avr na dhiyaoun jo bar chon so tum tai paoon.,qumih Cwif koeI Avr n iDXwaUN ] jo br choN su qum qy pwaUN ],26
saivk sikh hmarai tariaeh chuni chuni strhmarai mariaeh. (4),syvk is`K hmwry qwrIAih ] cuin cuin sqR hmwry mwrIAih ]4],29
aap hath dai mujhai obriyai mrn kal ka tras nivriaye.,Awp hwQ dY muJY aubirXY ] mrn kwl kw qRws invirXY ],33
hoojo sda hamaraipchcha sri asidhuj joo kriyo rchcha. (5),hUjo sdw hmwry p`Cw ] sRI AisDuj jU kirXhu r`Cw ]5],36
rakh laiho mohe rakhanharai sahib sant shaeh piyarai,rwiK lyhu muih rwKnhwry ] swihb sMq shwie ipXwry ],40
deen bundhu dustan kai hunta tum ho puri chtur dus kunta. (6),dIn bMDu dustn ky hMqw ] qumho purI cqur ds kMqw ]6],43
kal paeh brhma bup dhra. kal paeh siv joo avtra.,kwl pwie bRhmw bpu Drw ] kwl pwie isvjU Avqrw ],47
kal paeh kr bisnu prkasa skl kal ka kia tmasa. (7),kwl pwie kr ibsnu pRkwsw ] skl kwl kw kIAw qmwsw ]7],50
jvan kal jogi siv kio baid raj brahma joo thio,jvn kwl jogI isv kIE ] bydrwj bRhmw jU QIE ],54
jvn kal sabh lok svara nmskar hai taeh hmara. (8),jvn kwl sB lok svwrw ] nmskwr hY qwih hmwrw ]8],60
jvn kal sabh jagat bnaio dev daint jchchan oopjaio,jvn kwl sB jgq bnwXo ] dyv dYq j`Cn aupjwXo ],63
adi aunti aikai avtara soei guru smjhiayho hmara (9),Awid AMiq eykY Avqwrw ] soeI gurU smiJXhu hmwrw ]9],67
nmskar tis hi ko hamari skal prja jin aap svari,nmskwr iqs hI ko hmwrI ] skl pRjw ijn Awp svwrI ],70
sivkn ko siv gun sukh dio sttrun ko pul mo bdh kio. (10),isvkn ko isvgun suK dIE ] s`qRün ko pl mo bD kIE ]10],74
ghat ghat kai antar ki jant bhlai burai ki pir pachant,Gt Gt ky AMqr kI jwnq ] Bly bury kI pIr pCwnq ],77
chiti tai kunchrasthoola sabh par kirpa diristi kar phoola. (11),cItI qy kuMcr AsQUlw ] sB pr ik®pw idRsit kr PUlw ]11],83
suntun dukh paai tai dukhi sukh paai sadhun kai sukhi,sMqn duK pwey qy duKI ] suK pwey swDn ky suKI ],86
aik aik ki pir pchanain ghat ghat kai put put ki janai. (12),eyk eyk kI pIr pCwnYN ] Gt Gt ky pt pt kI jwnYN ]12],90
jub oodkrkh kra kartara prja dhrt tab dai apara,jb audkrK krw krqwrw ] pRjw Drq qb dyh Apwrw ],93
