English,Punjabi,Time
Ik ongkar satgur parsad.,<> siqgur pRswid ],0
JAAP,jwpu,4
siri mukh vak patshahi 10,sRI muKvwk pwiqSwhI 10],5
chapai chund. tav parsad.chakar chehun ar burn| jati ar pati nehun jeh,CpY CMd ] qÍ pRswid ] c`k® ichn Aru brn jwiq Aru pwiq nihn ijh ],7
roop rung ar raikh| bhaikh kohoo keh na skut keh,rUp rMg Aru ryK ByK koaU kih n skiq ikh ],15
achul mooret anbho parkas ametoje kehjai,Acl mUriq AnBau pRkws Aimqoij kih`jY ],19
koti eindar eindran saho sahan gnejai,koit ieMdR ieMdRwix swhu swhwix gix`jY ],24
tirbhavn maheep sur nar asur naiti naiti bun tirun keht,iqRBvx mhIp sur nr Asur nyq nyq bn iqRx khq ],28
tav sarb nam kathai kavan karm nam barnt sumati. (1),qv srb nwm kQY kvn krm nwm brnq sumiq ]1],33
bhujund prayat chhand,BujMg pRXwq CMd ],38
namustvun akalai| namustvun kirpalai,nmsqÍM Akwly ] nmsqÍM ik®pwly ],40
namustvun aroopai| namustvun anoopai (2),nmsqM ArUpy ] nmsqM AnUpy ]2],44
namustun abhaikhai| namustun alakhai,nmsqM AByKy ] nmsqM AlyKy ],48
namustun akaey| namustun ajaey. (3),nmsqM Akwey ] nmsqM Ajwey ]3],52
nabustun agunjai| namustun abhunjai,nmsqM AgMjy ] nmsqM ABMjy ],55
namustun anamai| namustun athamai. (4),nmsqM Anwmy ] nmsqM ATwmy ]4],59
namustun akarmun| namustun adharmun,nmsqM AkrmM ] nmsqM ADrmM ],63
namustun anamun| namustun adhamun. (5),nmsqM AnwmM ] nmsqM ADwmM ]5],67
namustun ajitai| namustun abhitai,nmsqM AjIqy ] nmsqM ABIqy ],70
namustun anahai| namustun adhahai. (6),nmsqM Abwhy ] nmsqM AFwhy ]6],74
namustun anilai| namustun anadai,nmsqM AnIly ] nmsqM Anwdy ],78
namustun achaidai| namustun aghadhai. (7),nmsqM ACydy ] nmsqM AgwDy ]7],81
namustun agunjai| namustun abhunjai,nmsqM AgMjy ] nmsqM ABMjy ],85
namustun oodharai| namustun aparai (8),nmsqM audwry ] nmsqM Apwry ]8],88
namustun so aikai| namustun anaikai,nmsqM su eykY ] nmsqM AnykY ],92
namustun abhootai| namustun ajoopai. (9),nmsqM ABUqy ] nmsqM AjUpy ]9],96
namustun nirkarmai| namustun nirbharmai,nmsqM inRkrmy ] nmsqM inRBrmy ],100
namustun nirdeasai| namustun nirbhaisai. (10),nmsqM inRdysy ] nmsqM inRBysy ]10],103
namustun nirnamai | namustun nirkamai,nmsqM inRnwmy ] nmsqM inRkwmy ],107
namustun nirdhatai| namustun nirghatai (11),nmsqM inRDwqy ] nmsqM inRGwqy ]11],110
namustun nirdhootai| namustun abhootai,nmsqM inRDUqy ] nmsqM ABUqy ],114
namustun alokai| namustun asokai. (12),nmsqM Aloky ] nmsqM Asoky ]12],117
namustun nirtapai| namustun athapai,nmsqM inRqwpy ] nmsqM AQwpy ],121
namustun tirmanai| namustun nidhanai. (13),nmsqM iqRmwny ] nmsqM inDwny ]13],124
namustun aghahai| namustun athahai,nmsqM Agwhy ] nmsqM Abwhy ],128
namustun tirbargai| namustun asargai. (14),nmsqM iqRbrgy ] nmsqM Asrgy ]14],131
namustun parbhogai| namustun sojogai,nmsqM pRBogy ] nmsqM sujogy ],135
namustun arungai| namustun abhungai. (15),nmsqM ArMgy ] nmsqM ABMgy ]15],138
namustun aghumai| namustsat rumai,nmsqM AgMmy ] nmsqsqu rMmy ],141
namustun jalasrai| namustun nirasrai. (16),nmsqM jlwsry ] nmsqM inrwsry ]16],145
namustun ajatai| namustun apatai,nmsqM Ajwqy ] nmsqM Apwqy ],149
namustun amujbai| namustsut ajabai. (17),nmsqM Amjby ] nmsqsqu Ajby ]17],152
adaisun adaisai| namustun abhaisai,AdysM Adysy ] nmsqM ABysy ],156
namustun nirdhamai| namustun nirbamai. (18),nmsqM inRDwmy ] nmsqM inRbwmy ]18],160
namo sarb kalai| namo sarb dayalai,nmo srb kwly ] nmo srb idAwly ],164
namo sarb roopai| namo sarb bhoopai. (19),nmo srb rUpy ] nmo srb BUpy ]19],167
namo sarb khapai| namo sarb thapai,nmo srb Kwpy ] nmo srb Qwpy ],170
namo sarb kalai| namo sarb palai. (20),nmo srb kwly ] nmo srb pwly ]20],173
namsatsut devai| namustun abhaivai,nmsqsqu dyvY ] nmsqM AByvY ],177
namustun ajanmai| namustun sobanmai. (21),nmsqM Ajnmy ] nmsqM su bnmy ]21],180
namo sarb gounai| namo sarb bhounai,nmo srb gauny ] nmo srb Bauny ],183
namo sarb rungai| namo sarb bhungai. (22),nmo srb rMgy ] nmo srb BMgy ]22],187
namo kal kalai| namustst dayalai,nmo kwl kwly ] nmsqsqu idAwly ],191
namustun abarnai| namustun amarnai. (23),nmsqM Abrny ] nmsqM Amrny ]23],194
namustun jararung| namustun kirtarun,nmsqM jrwrM ] nmsqM ik®qwrM ],197
namo sarb dhundhai| namo sutt abundhai. (24),nmo srb DMDy ] nmo sq AbMDy ]24],200
namustun nirsakai| namustun nirbakai,nmsqM inRswky ] nmsqM inRbwky ],204
namustun rahimai| namustun karimai. (25),nmsqM rhImy ] nmsqM krImy ]25],207
namustun anuntai| namustun mahuntai,nmsqM Anµqy ] nmsqM mhMqy ],211
namustst ragai| namustun sohagai (26),nmsqsqu rwgy ] nmsqM suhwgy ]26],214
namo sarb sokhun| namo sarb pokhun,nmo srb soKM ] nmo srb poKM ],217
namo sarb karta| namo sarb harta. (27),nmo srb krqw ] nmo srb hrqw ]27],221
namo jog jogai| namo bhog bhogai,nmo jog jogy ] nmo Bog Bogy ],225
namo sarb dayalai| namo sarb palai. (28),nmo srb idAwly ] nmo srb pwly ]28],228
CHACHRI CHHUND - TAV PARSAD (By Your Grace),cwcrI CMd ] qÍ pRswid ],232
aroop hain| anoop hain| ajoo hain abhoo hai(29),ArUp hYN ] AnUp hYN ] AjU hYN ] ABU hYN ]29],235
alaikh hain| abhaikh hain| anam hain| akam hain. (30),AlyK hYN ] AByK hYN ] Anwm hYN ] Akwm hYN ]30],238
adhai hain| abhai hain| ajeet hain| abheet hain. (31),ADy hYN ] ABy hYN ] AjIq hYN ] ABIq hYN ]31],243
tireman hain. nidhan hain| tirburg hain| asarg hain. (32),iqRmwn hYN ] inDwn hYN ] iqRbrg hYN ] Asrg hYN ]32],247
anil hain| anadi hain| ajai hain| ajadi hain. (33),AnIl hYN ] Anwid hYN ] Ajy hYN ] Ajwid hYN ]33],251
ajanam hain| abarn hain| abhoot hain| abharan hain. (34),Ajnm hYN ] Abrn hYN ] ABUq hYN ] ABrn hYN ]34],256
agunj hain| abhunj hain| ajoojh hain| ajhunjh hain. (35),AgMj hYN ] ABMj hYN ] AJUJ hYN ] AJMJ hYN ]35],260
amik hain| rafiq hain| adhundh hain| abundh hai. (36),AmIk hYN ] r&Ik hYN ] ADMD hYN ] AbMD hYN ]36],264
nirboojh hain| asoojh hain| akal hain| ajal hain. (37),inRbUJ hYN ] AsUJ hYN ] Akwl hYN ] Ajwl hYN ]37],267
alah hain| ajah hain| anunt hain| mahunt hain. (38),Alwh hYN ] Ajwh hYN ] Anµq hYN ] mhMq hYN ]38],271
aleek hain| nirsrik hain| nirlumbh hain| asumbh hain. (39),AlIk hYN ] inRsIk hYN ] inRlµB hYN ] AsMB hYN ]39],275
agum hain| ajum hain| abhoot hai| achoot hain. (40),AgMm hYN ] AjMm hYN ] ABUq hYN ] ACUq hYN ]40],279
alok hain| ashok hain| akaram hain| abharm hain. (41),Alok hYN ] Asok hYN ] Akrm hYN ] ABrm hYN ]41],283
ajit hain| abheet hain| atha hain| agah hain. (42),AjIq hYN ] ABIq hYN ] Abwh hYN ] Agwh hYN ]42],287
aman hain| nidhan hain| anaik hain| phir aik hain. (43),Amwn hYN ] inDwn hYN ] Anyk hYN ] iPr eyk hYN ]43],291
BHUJUNG PARYAT CHUND,BujMg pRXwq CMd ],294
namo sarb manai| smasti nidhanai,nmo srb mwny ] smsqI inDwny ],296
namo dev devai| abhaikhi abhaivai. (44),nmo dyv dyvy ] AByKI AByvy ]44],300
namo kal kalai| namo sarb palai.,nmo kwl kwly ] nmo srb pwly ],303
namo sarb gounai| namo sarb bhounai. (45),nmo srb gauxy ] nmo srb Bauxy ]45],307
anungi anathai| nirsungi parmathai,AnµgI AnwQy ] inRsMgI pRmwQy ],310
namo bhan bhanai| namo man manai. (46),nmo Bwn Bwny ] nmo mwn mwny ]46],314
namo chundar chundrai| mamo bhan bhanai,nmo cMdR cMdRy ] nmo Bwn Bwny ],318
namo geet geetai | namo tan tanai. (47),nmo gIq gIqy ] nmo qwn qwny ]47],322
namo nirat nirtai| namo nad nadai,nmo inrq inrqy ] nmo nwd nwdy ],325
namo pan panai| namo bad badai. (48),nmo pwn pwny ] nmo bwd bwdy ]48],329
anungi anamai| smusti sroopai,AnµgI Anwmy ] smsqI srUpy ],333
parbhungi parmathai| smusti bebhootai. (49),pRBMgI pRmwQy ] smsqI ibBUqy ]49],336
klunkun bina| naiklunki sroopai.,klµkM ibnw ny klµkI srUpy ],340
namo raj rajai svrun parm roopai. (50),nmo rwj rwjy sÍrM prm rUpy ]50],344
namo jog jogai| svrun parm sidhai.,nmo jog jogy sÍrM prm is`Dy ],347
namo raj rajai| svrun parm birdhai. (51),nmo rwj rwjy sÍrM prm ibRDy ]51],351
namo sustar panai| namo astar manai.,nmo ssqR pwxy ] nmo AsqR mwxy ],355
namo parm gayata| namo lok mata. (52),nmo prm igAwqw ] nmo lok mwqw ]52],359
abhaikhi abharmi abhogi abhugtai,AByKI ABrmI ABogI ABugqy ],362
namo jog jogai svrun parm jugtai. (53),nmo jog jogy sÍrM prm jugqy ]53],366
namo nit narayanai karoor karmai,nmo in`q nwrwiexy k®¨r krmy ],370
namo prait aprait daivai sodharmai. (54),nmo pRyq ApRyq dyvy suDrmy ]54],373
namo rog harta| namo rag roopai.,nmo rog hrqw ] nmo rwg rUpy ],380
namo shah shahai| namo bhoop bhoopai. (55),nmo swh swhM ] nmo BUp BUpy ]55],382
namo dan danai|namo maun maunai,nmo dwn dwny ] nmo mwn mwny ],384
namo rog rogai| namustun eisnanun. (56),nmo rog rogy nmsqM iesnwnµ ]56],388
namo muntar muntrun| namo juntar juntrun,nmo mMqR mMqRM ] nmo jMqR jMqRM ],392
namo eist eistai| namo tuntar tuntrun. (57),nmo iest iesty ] nmo qMqR qMqRM ]57],396
sada sachdanund sarbun pransi,sdw s`cdwnµd srbM pRxwsI ],399
anoopai sroopai smustul nivasi. (58),AnUpy ArUpy smsquil invwsI ]58],403
sada sidhi -da budhi -da bridhi karta,sdw isDdw buDdw ibRD krqw ],406
adho oordh ardhun aghun ogh harta (59),ADo aurD ArDM AGM EG hrqw ]59],410
