English,Punjabi,Time
ik-oNkaar sat naam kartaa purakh nirbha-o nirvair akaal moorat ajoonee saibhaN gur parsaad.,<> siq nwmu krqw purKu inrBau inrvYru Akwl mUriq AjUnI sYBM gur pRswid ],0
jap.,] jpu ],11
aad sach jugaad sach.,Awid scu jugwid scu ],12
hai bhee sach naanak hosee bhee sach. ||1||,hY BI scu nwnk hosI BI scu ]1],15
sochai soch na hova-ee jay sochee lakh vaar.,socY soic n hoveI jy socI lK vwr ],18
chupai chup na hova-ee jay laa-ay rahaa liv taar.,cupY cup n hoveI jy lwie rhw ilv qwr ],21
bhukhi-aa bhukh na utree jay bannaa puree-aa bhaar.,BuiKAw BuK n auqrI jy bMnw purIAw Bwr ],25
sahas si-aanpaa lakh hohi ta ik na chalai naal.,shs isAwxpw lK hoih q iek n clY nwil ],29
kiv sachi-aaraa ho-ee-ai kiv koorhai tutai paal.,ikv sicAwrw hoeIAY ikv kUVY qutY pwil ],33
hukam rajaa-ee chalnaa naanak likhi-aa naal. ||1||,hukim rjweI clxw nwnk iliKAw nwil ]1],37
hukmee hovan aakaar hukam na kahi-aa jaa-ee.,hukmI hovin Awkwr hukmu n kihAw jweI ],42
hukmee hovan jee-a hukam milai vadi-aa-ee.,hukmI hovin jIA hukim imlY vifAweI ],46
hukmee utam neech hukam likh dukh sukh paa-ee-ah.,hukmI auqmu nIcu hukim iliK duK suK pweIAih ],49
iknaa hukmee bakhsees ik hukmee sadaa bhavaa-ee-ah.,ieknw hukmI bKsIs ieik hukmI sdw BvweIAih ],53
hukmai andar sabh ko baahar hukam na ko-ay.,hukmY AMdir sBu ko bwhir hukm n koie ],57
naanak hukmai jay bujhai ta ha-umai kahai na ko-ay. ||2||,nwnk hukmY jy buJY q haumY khY n koie ]2],62
gaavai ko taan hovai kisai taan.,gwvY ko qwxu hovY iksY qwxu ],67
gaavai ko daat jaanai neesaan.,gwvY ko dwiq jwxY nIswxu ],71
gaavai ko gun vadi-aa-ee-aa chaar.,gwvY ko gux vifAweIAw cwr ],74
gaavai ko vidi-aa vikham veechaar.,gwvY ko ividAw ivKmu vIcwru ],77
gaavai ko saaj karay tan khayh.,gwvY ko swij kry qnu Kyh ],80
gaavai ko jee-a lai fir dayh.,gwvY ko jIA lY iPir dyh ],83
gaavai ko jaapai disai door.,gwvY ko jwpY idsY dUir ],86
gaavai ko vaykhai haadraa hadoor.,gwvY ko vyKY hwdrw hdUir ],88
kathnaa kathee na aavai tot.,kQnw kQI n AwvY qoit ],91
kath kath kathee kotee kot kot.,kiQ kiQ kQI kotI koit koit ],94
daydaa day laiday thak paahi.,dydw dy lYdy Qik pwih ],97
jugaa jugantar khaahee khaahi.,jugw jugMqir KwhI Kwih ],101
hukmee hukam chalaa-ay raahu.,hukmI hukmu clwey rwhu ],104
naanak vigsai vayparvaahu. ||3||,nwnk ivgsY vyprvwhu ]3],106
saachaa saahib saach naa-ay bhaakhi-aa bhaa-o apaar.,swcw swihbu swcu nwie BwiKAw Bwau Apwru ],109
aakhahi mangahi dahi dahi daat karay daataar.,AwKih mMgih dyih dyih dwiq kry dwqwru ],113
fayr ke agai rakhee-ai jit disai darbaar.,Pyir ik AgY rKIAY ijqu idsY drbwru ],117
muhou ke bolan bolee-ai jit sun Dharay pi-aar.,muhO ik bolxu bolIAY ijqu suix Dry ipAwru ],122
amrit vaylaa sach naa-o vadi-aa-ee veechaar.,AMimRq vylw scu nwau vifAweI vIcwru ],127
karmee aavai kaprhaa nadree mokh du-aar.,krmI AwvY kpVw ndrI moKu duAwru ],131
naanak ayvai jaanee-ai sabh aapay sachiaar. ||4||,nwnk eyvY jwxIAY sBu Awpy sicAwru ]4],135
thaapi-aa na jaa-ay keetaa na ho-ay.,QwipAw n jwie kIqw n hoie ],140
aapay aap niranjan so-ay.,Awpy Awip inrMjnu soie ],144
jin sayvi-aa tin paa-i-aa maan.,ijin syivAw iqin pwieAw mwnu ],148
naanak gaavee-ai gunee niDhaan.,nwnk gwvIAY guxI inDwnu ],150
gaavee-ai sunee-ai man rakhee-ai bhaa-o.,gwvIAY suxIAY min rKIAY Bwau ],153
dukh parhar sukh ghar lai jaa-ay.,duKu prhir suKu Gir lY jwie ],157
gurmukh naadaN gurmukh vaydaN gurmukh rahi-aa samaa-ee.,gurmuiK nwdM gurmuiK vydM gurmuiK rihAw smweI ],159
gur eesar gur gorakh barmaa gur paarbatee maa-ee.,guru eIsru guru gorKu brmw guru pwrbqI mweI ],164
jay ha-o jaanaa aakhaa naahee kahnaa kathan na jaa-ee.,jy hau jwxw AwKw nwhI khxw kQnu n jweI ],168
guraa ik dahi bujhaa-ee.,gurw iek dyih buJweI ],173
sabhnaa jee-aa kaa ik daataa so mai visar na jaa-ee. ||5||,sBnw jIAw kw ieku dwqw so mY ivsir n jweI ]5],176
tirath naavaa jay tis bhaavaa vin bhaanay ke naa-ay karee.,qIriQ nwvw jy iqsu Bwvw ivxu Bwxy ik nwie krI ],182
jaytee sirath upaa-ee vaykhaa vin karmaa ke milai la-ee.,jyqI isriT aupweI vyKw ivxu krmw ik imlY leI ],186
mat vich ratan javaahar maanik jay ik gur kee sikh sunee.,miq ivic rqn jvwhr mwixk jy iek gur kI isK suxI ],191
guraa ik dahi bujhaa-ee.,gurw iek dyih buJweI ],196
sabhnaa jee-aa kaa ik daataa so mai visar na jaa-ee. ||6||,sBnw jIAw kw ieku dwqw so mY ivsir n jweI ]6],198
jay jug chaaray aarjaa hor dasoonee ho-ay.,jy jug cwry Awrjw hor dsUxI hoie ],203
navaa khanda vich jaanee-ai naal chalai sabh ko-ay.,nvw KMfw ivic jwxIAY nwil clY sBu koie ],206
changa naa-o rakhaa-ay kai jas keerat jag lay-ay.,cMgw nwau rKwie kY jsu kIriq jig lyie ],210
jay tis nadar na aavee ta vaat na puchhai kay.,jy iqsu ndir n AwveI q vwq n puCY ky ],213
keetaa andar keet kar dosee dos Dharay.,kItw AMdir kItu kir dosI dosu Dry ],217
naanak nirgun gun karay gunvanti-aa gun day.,nwnk inrguix guxu kry guxvMiqAw guxu dy ],222
tayhaa ko-ay na sujh-ee je tis gun ko-ay karay. ||7||,qyhw koie n suJeI ij iqsu guxu koie kry ]7],227
suni-ai siDh peer sur naath.,suixAY isD pIr suir nwQ ],230
suni-ai Dharat Dhaval aakaas.,suixAY Driq Dvl Awkws ],233
suni-ai deep lo-a paataal.,suixAY dIp loA pwqwl ],236
suni-ai pohi na sakai kaal.,suixAY poih n skY kwlu ],238
naanak bhagtaa sadaa vigaas.,nwnk Bgqw sdw ivgwsu ],240
suni-ai dookh paap kaa naas. ||8||,suixAY dUK pwp kw nwsu ]8],245
suni-ai eesar barmaa ind.,suixAY eIsru brmw ieMdu ],248
suni-ai mukh saalaahan mand.,suixAY muiK swlwhx mMdu ],250
suni-ai jog jugat tan bhayd.,suixAY jog jugiq qin Byd ],253
suni-ai saasat simrit vayd.,suixAY swsq isimRiq vyd ],255
naanak bhagtaa sadaa vigaas.,nwnk Bgqw sdw ivgwsu ],257
suni-ai dookh paap kaa naas. ||9||,suixAY dUK pwp kw nwsu ]9],262
suni-ai sat santokh gi-aan.,suixAY squ sMqoKu igAwnu ],265
suni-ai athsath kaa isnaan.,suixAY ATsiT kw iesnwnu ],268
suni-ai parh parh paavahi maan.,suixAY piV piV pwvih mwnu ],271
suni-ai laagai sahj Dhi-aan.,suixAY lwgY shij iDAwnu ],275
naanak bhagtaa sadaa vigaas.,nwnk Bgqw sdw ivgwsu ],280
suni-ai dookh paap kaa naas. ||10||,suixAY dUK pwp kw nwsu ]10],285
suni-ai saraa gunaa kay gaah.,suixAY srw guxw ky gwh ],290
suni-ai saykh peer paatisaah.,suixAY syK pIr pwiqswh ],293
suni-ai anDhay paavahi raahu.,suixAY AMDy pwvih rwhu ],296
suni-ai haath hovai asgaahu.,suixAY hwQ hovY Asgwhu ],298
naanak bhagtaa sadaa vigaas.,nwnk Bgqw sdw ivgwsu ],300
suni-ai dookh paap kaa naas. ||11||,suixAY dUK pwp kw nwsu ]11],304
mannay kee gat kahee na jaa-ay.,mMny kI giq khI n jwie ],308
jay ko kahai pichhai pachhutaa-ay.,jy ko khY ipCY pCuqwie ],311
kaagad kalam na likhanhaar.,kwgid klm n ilKxhwru ],313
mannay kaa bahi karan veechaar.,mMny kw bih krin vIcwru ],316
aisaa naam niranjan ho-ay.,AYsw nwmu inrMjnu hoie ],320
jay ko man jaanai man ko-ay. ||12||,jy ko mMin jwxY min koie ]12],324
mannai surat hovai man buDh.,mMnY suriq hovY min buiD ],327
mannai sagal bhavan kee suDh.,mMnY sgl Bvx kI suiD ],330
mannai muhi chotaa naa khaa-ay.,mMnY muih cotw nw Kwie ],332
mannai jam kai saath na jaa-ay.,mMnY jm kY swiQ n jwie ],335
aisaa naam niranjan ho-ay.,AYsw nwmu inrMjnu hoie ],339
jay ko man jaanai man ko-ay. ||13||,jy ko mMin jwxY min koie ]13],343
mannai maarag thaak na paa-ay.,mMnY mwrig Twk n pwie ],347
mannai pat si-o pargat jaa-ay.,mMnY piq isau prgtu jwie ],351
mannai mag na chalai panth.,mMnY mgu n clY pMQu ],353
mannai Dharam saytee san-banDh.,mMnY Drm syqI snbMDu ],356
aisaa naam niranjan ho-ay.,AYsw nwmu inrMjnu hoie ],360
jay ko man jaanai man ko-ay. ||14||,jy ko mMin jwxY min koie ]14],366
mannai paavahi mokh du-aar.,mMnY pwvih moKu duAwru ],370
mannai parvaarai saaDhaar.,mMnY prvwrY swDwru ],373
mannai tarai taaray gur sikh.,mMnY qrY qwry guru isK ],376
mannai naanak bhavahi na bhikh.,mMnY nwnk Bvih n iBK ],379
aisaa naam niranjan ho-ay.,AYsw nwmu inrMjnu hoie ],383
jay ko man jaanai man ko-ay. ||15||,jy ko mMin jwxY min koie ]15],388
panch parvaan panch parDhaan.,pMc prvwx pMc prDwnu ],392
panchay paavahi dargahi maan.,pMcy pwvih drgih mwnu ],396
panchay sohahi dar raajaan.,pMcy sohih dir rwjwnu ],399
panchaa kaa gur ayk Dhi-aan.,pMcw kw guru eyku iDAwnu ],402
jay ko kahai karai veechaar.,jy ko khY krY vIcwru ],408
kartay kai karnai naahee sumaar.,krqy kY krxY nwhI sumwru ],409
Dhoul Dharam da-i-aa kaa poot.,DOlu Drmu dieAw kw pUqu ],412
santokh thaap rakhi-aa jin soot.,sMqoKu Qwip riKAw ijin sUiq ],415
jay ko bujhai hovai sachiaar.,jy ko buJY hovY sicAwru ],419
Dhavlai upar kaytaa bhaar.,DvlY aupir kyqw Bwru ],422
Dhartee hor parai hor hor.,DrqI horu prY horu horu ],425
tis tay bhaar talai kavan jor.,iqs qy Bwru qlY kvxu joru ],429
jee-a jaat rangaa kay naav.,jIA jwiq rMgw ky nwv ],431
sabhnaa likhi-aa vurhee kalaam.,sBnw iliKAw vuVI klwm ],435
ayhu laykhaa likh jaanai ko-ay.,eyhu lyKw iliK jwxY koie ],439
laykhaa likhi-aa kaytaa ho-ay.,lyKw iliKAw kyqw hoie ],442
kaytaa taan su-aalihu roop.,kyqw qwxu suAwilhu rUpu ],445
kaytee daat jaanai koun koot.,kyqI dwiq jwxY kOxu kUqu ],448
keetaa pasaa-o ayko kavaa-o.,kIqw pswau eyko kvwau ],451
tis tay ho-ay lakh daree-aa-o.,iqs qy hoey lK drIAwau ],454
kudrat kavan kahaa veechaar.,kudriq kvx khw vIcwru ],458
vaari-aa na jaavaa ayk vaar.,vwirAw n jwvw eyk vwr ],462
jo tuDh bhaavai saa-ee bhalee kaar.,jo quDu BwvY sweI BlI kwr ],465
too sadaa salaamat nirankaar. ||16||,qU sdw slwmiq inrMkwr ]16],470
asaNkh jap asaNkh bhaa-o.,AsMK jp AsMK Bwau ],474
asaNkh poojaa asaNkh tap taa-o.,AsMK pUjw AsMK qp qwau ],477
asaNkh garanth mukh vayd paath.,AsMK grMQ muiK vyd pwT ],480
asaNkh jog man rahahi udaas.,AsMK jog min rhih audws ],483
asaNkh bhagat gun gi-aan veechaar.,AsMK Bgq gux igAwn vIcwr ],486
asaNkh satee asaNkh daataar.,AsMK sqI AsMK dwqwr ],489
asaNkh soor muh bhakh saar.,AsMK sUr muh BK swr ],491
asaNkh mon liv laa-ay taar.,AsMK moin ilv lwie qwr ],494
kudrat kavan kahaa veechaar.,kudriq kvx khw vIcwru ],498
vaari-aa na jaavaa ayk vaar.,vwirAw n jwvw eyk vwr ],501
jo tuDh bhaavai saa-ee bhalee kaar.,jo quDu BwvY sweI BlI kwr ],504
too sadaa salaamat nirankaar. ||17||,qU sdw slwmiq inrMkwr ]17],508
asaNkh moorakh anDh ghor.,AsMK mUrK AMD Gor ],511
asaNkh chor haraamkhor.,AsMK cor hrwmKor ],514
asaNkh amar kar jaahi jor.,AsMK Amr kir jwih jor ],517
asaNkh galvadh hati-aa kamaahi.,AsMK glvF hiqAw kmwih ],519
asaNkh paapee paap kar jaahi.,AsMK pwpI pwpu kir jwih ],523
asaNkh koorhi-aar koorhay firaahi.,AsMK kUiVAwr kUVy iPrwih ],525
asaNkh malaychh mal bhakh khaahi.,AsMK mlyC mlu BiK Kwih ],527
asaNkh nindak sir karahi bhaar.,AsMK inMdk isir krih Bwru ],531
naanak neech kahai veechaar.,nwnku nIcu khY vIcwru ],534
vaari-aa na jaavaa ayk vaar.,vwirAw n jwvw eyk vwr ],537
jo tuDh bhaavai saa-ee bhalee kaar.,jo quDu BwvY sweI BlI kwr ],541
too sadaa salaamat nirankaar. ||18||,qU sdw slwmiq inrMkwr ]18],545
asaNkh naav asaNkh thaav.,AsMK nwv AsMK Qwv ],549
agamm agamm asaNkh lo-a.,AgMm AgMm AsMK loA ],552
asaNkh kehahi sir bhaar ho-ay.,AsMK khih isir Bwru hoie ],555
akhree naam akhree saalaah.,AKrI nwmu AKrI swlwh ],557
akhree gi-aan geet gun gaah.,AKrI igAwnu gIq gux gwh ],560
akhree likhan bolan baan.,AKrI ilKxu bolxu bwix ],563
akhraa sir sanjog vakhaan.,AKrw isir sMjogu vKwix ],567
jin ayhi likhay tis sir naahi.,ijin eyih ilKy iqsu isir nwih ],569
jiv furmaa-ay tiv tiv paahi.,ijv Purmwey iqv iqv pwih ],573
jaytaa keetaa taytaa naa-o.,jyqw kIqw qyqw nwau ],576
vin naavai naahee ko thaa-o.,ivxu nwvY nwhI ko Qwau ],580
kudrat kavan kahaa veechaar.,kudriq kvx khw vIcwru ],585
vaari-aa na jaavaa ayk vaar.,vwirAw n jwvw eyk vwr ],588
jo tuDh bhaavai saa-ee bhalee kaar.,jo quDu BwvY sweI BlI kwr ],592
too sadaa salaamat nirankaar. ||19||,qU sdw slwmiq inrMkwr ]19],596
bharee-ai hath pair tan dayh.,BrIAY hQu pYru qnu dyh ],600
paanee Dhotai utras khayh.,pwxI DoqY auqrsu Kyh ],602
moot paleetee kaparh ho-ay.,mUq plIqI kpVu hoie ],604
day saaboon la-ee-ai oh Dho-ay.,dy swbUxu leIAY Ehu Doie ],607
