English,Punjabi,Time
sohilaa raag ga-orhee deepkee mehlaa 1,soihlw rwgu gauVI dIpkI mhlw 1,0
ik-oNkaar satgur parsaad.,<> siqgur pRswid ],17
jai ghar keerat aakhee-ai kartay kaa ho-ay beechaaro.,jY Gir kIriq AwKIAY krqy kw hoie bIcwro ],20
tit ghar gaavhu sohilaa sivrihu sirjanhaaro. ||1||,iqqu Gir gwvhu soihlw isvirhu isrjxhwro ]1],24
tum gaavhu mayray nirbha-o kaa sohilaa.,qum gwvhu myry inrBau kw soihlw ],28
ha-o vaaree jit sohilai sadaa sukh ho-ay. ||1|| rahaa-o.,hau vwrI ijqu soihlY sdw suKu hoie ]1] rhwau ],31
nit nit jee-arhay samaalee-an daykhaigaa dayvanhaar.,inq inq jIAVy smwlIAin dyKYgw dyvxhwru ],35
tayray daanai keemat naa pavai tis daatay kavan sumaar. ||2||,qyry dwnY kImiq nw pvY iqsu dwqy kvxu sumwru ]2],38
sambat saahaa likhi-aa mil kar paavhu tayl.,sMbiq swhw iliKAw imil kir pwvhu qylu ],42
dayh sajan aseesrhee-aa ji-o hovai saahib si-o mayl. ||3||,dyhu sjx AsIsVIAw ijau hovY swihb isau mylu ]3],47
ghar ghar ayho paahuchaa sad-rhay nit pavann.,Gir Gir eyhu pwhucw sdVy inq pvMin ],51
sadanhaaraa simree-ai naanak say dih aavann. ||4||1||,sdxhwrw ismrIAY nwnk sy idh AwvMin ]4]1],55
raag aasaa mehlaa 1.,rwgu Awsw mhlw 1],58
chhi-a ghar chhi-a gur chhi-a updays.,iCA Gr iCA gur iCA aupdys ],60
gur gur ayko vays anayk. ||1||,guru guru eyko vys Anyk ]1],63
baabaa jai ghar kartay keerat ho-ay. so ghar raakh vadaa-ee to-ay. ||1|| rahaa-o.,bwbw jY Gir krqy kIriq hoie ] so Gru rwKu vfweI qoie ]1] rhwau ],65
visu-ay chasi-aa gharhee-aa pahraa thitee vaaree maahu ho-aa.,ivsuey cisAw GVIAw phrw iQqI vwrI mwhu hoAw ],71
sooraj ayko rut anayk. naanak kartay kay kaytay vays. ||2||2||,sUrju eyko ruiq Anyk ] nwnk krqy ky kyqy vys ]2]2],76
raag Dhanaasree mehlaa 1.,rwgu DnwsrI mhlw 1],81
gagan mai thaal rav chand deepak banay taarikaa mandal janak motee.,ggn mY Qwlu riv cMdu dIpk bny qwirkw mMfl jnk moqI ],83
Dhoop mal-aanlo pavan chavro karay sagal banraa-ay foolant jotee. ||1||,DUpu mlAwnlo pvxu cvro kry sgl bnrwie PUlµq joqI ]1],88
kaisee aartee ho-ay. bhav khandnaa tayree aartee.,kYsI AwrqI hoie ] Bv KMfnw qyrI AwrqI ],94
anhataa sabad vaajant bhayree. ||1|| rahaa-o.,Anhqw sbd vwjMq ByrI ]1] rhwau ],100
sahas tav nain nan nain heh tohi ka-o sahas moorat nanaa ayk tohee.,shs qv nYn nn nYn hih qoih kau shs mUriq nnw eyk quohI ],103
sahas pad bimal nan ayk pad ganDh bin sahas tav ganDh iv chalat mohee. ||2||,shs pd ibml nn eyk pd gMD ibnu shs qv gMD iev clq mohI ]2],107
sabh meh jot jot hai so-ay. tis dai chaanan sabh meh chaanan ho-ay.,sB mih joiq joiq hY soie ] iqs dY cwnix sB mih cwnxu hoie ],114
gur saakhee jot pargat ho-ay. jo tis bhaavai so aartee ho-ay. ||3||,gur swKI joiq prgtu hoie ] jo iqsu BwvY su AwrqI hoie ]3],119
har charan kaval makrand lobhit mano andino mohi aahee pi-aasaa.,hir crx kvl mkrMd loiBq mno Anidnuo moih AwhI ipAwsw ],124
kirpaa jal deh naanak saaring ka-o ho-ay jaa tay tayrai naa-ay vaasaa. ||4||3||,ik®pw jlu dyih nwnk swirMg kau hoie jw qy qyrY nwie vwsw ]4]3],130
raag ga-orhee poorbee mehlaa 4.,rwgu gauVI pUrbI mhlw 4],138
kaam karoDh nagar baho bhari-aa mil saaDhoo khandal khanda hay.,kwim kroiD ngru bhu BirAw imil swDU KMfl KMfw hy ],140
poorab likhat likhay gur paa-i-aa man har liv mandal mandaa hay. ||1||,pUrib ilKq ilKy guru pwieAw min hir ilv mMfl mMfw hy ]1],144
kar saaDhoo anjulee pun vadaa hay. kar dand-ut pun vadaa hay. ||1|| rahaa-o.,kir swDU AMjulI punu vfw hy ] kir fMfauq punu vfw hy ]1] rhwau ],149
saakat har ras saad na jaani-aa tin antar ha-umai kandaa hay.,swkq hir rs swdu n jwixAw iqn AMqir haumY kMfw hy ],154
ji-o ji-o chaleh chubhai dukh paavahi jamkaal saheh sir dandaa hay. ||2||,ijau ijau clih cuBY duKu pwvih jmkwlu shih isir fMfw hy ]2],158
har jan har har naam samaanay dukh janam maran bhav khanda hay.,hir jn hir hir nwim smwxy duKu jnm mrx Bv KMfw hy ],165
abhinaasee purakh paa-i-aa parmaysar baho sobh khand barahmandaa hay. ||3||,AibnwsI purKu pwieAw prmysru bhu soB KMf bRhmMfw hy ]3],170
ham gareeb maskeen parabh tayray har raakh raakh vad vadaa hay.,hm grIb mskIn pRB qyry hir rwKu rwKu vf vfw hy ],174
jan naanak naam aDhaar tayk hai har naamay hee sukh mandaa hay. ||4||4||,jn nwnk nwmu ADwru tyk hY hir nwmy hI suKu mMfw hy ]4]4],181
raag ga-orhee poorbee mehlaa 5.,rwgu gauVI pUrbI mhlw 5],185
kara-o baynantee sunhu mayray meetaa sant tahal kee baylaa.,krau bynµqI suxhu myry mIqw sMq thl kI bylw ],187
eehaa khaat chalhu har laahaa aagai basan suhaylaa. ||1||,eIhw Kwit clhu hir lwhw AwgY bsnu suhylw ]1],191
a-oDh ghatai dinas rainaaray. man gur mil kaaj savaaray. ||1|| rahaa-o.,AauD GtY idnsu rYxwry ] mn gur imil kwj svwry ]1] rhwau ],195
ih sansaar bikaar sansay meh tari-o barahm gi-aanee.,iehu sMswru ibkwru sMsy mih qirE bRhm igAwnI ],199
jisahi jagaa-ay pee-aavai ih ras akath kathaa tin jaanee. ||2||,ijsih jgwie pIAwvY iehu rsu AkQ kQw iqin jwnI ]2],203
