English,Punjabi,Time
so dhar raag aasaa mehalaa 1,so dru rwgu Awsw mhlw 1,0
ik oankaar sathigur prasaadh ||,<> siqgur pRswid ],4
so dhar thaeraa kaehaa so ghar kaehaa jith behi sarab samaalae ||,so dru qyrw kyhw so Gru kyhw ijqu bih srb smwly ],7
vaajae thaerae naadh anaek asa(n)khaa kaethae thaerae vaavanehaarae ||,vwjy qyry nwd Anyk AsMKw kyqy qyry vwvxhwry ],12
kaethae thaerae raag paree sio keheeahi kaethae thaerae gaavanehaarae ||,kyqy qyry rwg prI isau khIAih kyqy qyry gwvxhwry ],19
gaavan thudhhano pavan paanee baisa(n)thar gaavai raajaa dhharam dhuaarae ||,gwvin quDno pvxu pwxI bYsMqru gwvY rwjw Drmu duAwry ],25
gaavan thudhhano chith gupath likh jaanan likh likh dhharam beechaarae ||,gwvin quDno icqu gupqu iliK jwxin iliK iliK Drmu bIcwry ],31
gaavan thudhhano eesar brehamaa dhaevee sohan thaerae sadhaa savaarae ||,gwvin quDno eIsru bRhmw dyvI sohin qyry sdw svwry ],37
gaavan thudhhano ei(n)dhr ei(n)dhraasan bait(h)ae dhaevathiaa dhar naalae ||,gwvin quDno ieMdR ieMdRwsix bYTy dyviqAw dir nwly ],43
gaavan thudhhano sidhh samaadhhee a(n)dhar gaavan thudhhano saadhh beechaarae ||,gwvin quDno isD smwDI AMdir gwvin quDno swD bIcwry ],49
gaavan thudhhano jathee sathee sa(n)thokhee gaavan thudhhano veer karaarae ||,gwvin quDno jqI sqI sMqoKI gwvin quDno vIr krwry ],55
gaavan thudhhano pa(n)ddith parran rakheesur jug jug vaedhaa naalae ||,gwvin quDno pMifq pVin rKIsur jugu jugu vydw nwly ],61
gaavan thudhhano mohaneeaa man mohan surag mashh paeiaalae ||,gwvin quDno mohxIAw mnu mohin surgu mCu pieAwly ],67
gaavan thudhhano rathan oupaaeae thaerae at(h)asat(h) theerathh naalae ||,gwvin quDno rqn aupwey qyry ATsiT qIrQ nwly ],72
gaavan thudhhano jodhh mehaabal sooraa gaavan thudhhano khaanee chaarae ||,gwvin quDno joD mhwbl sUrw gwvin quDno KwxI cwry ],78
gaavan thudhhano kha(n)dd ma(n)ddal brehama(n)ddaa kar kar rakhae thaerae dhhaarae ||,gwvin quDno KMf mMfl bRhmMfw kir kir rKy qyry Dwry ],85
saeee thudhhano gaavan jo thudhh bhaavan rathae thaerae bhagath rasaalae ||,syeI quDno gwvin jo quDu Bwvin rqy qyry Bgq rswly ],90
hor kaethae thudhhano gaavan sae mai chith n aavan naanak kiaa beechaarae ||,hoir kyqy quDno gwvin sy mY iciq n Awvin nwnku ikAw bIcwry ],97
soee soee sadhaa sach saahib saachaa saachee naaee ||,soeI soeI sdw scu swihbu swcw swcI nweI ],104
hai bhee hosee jaae n jaasee rachanaa jin rachaaee ||,hY BI hosI jwie n jwsI rcnw ijin rcweI ],109
ra(n)gee ra(n)gee bhaathee kar kar jinasee maaeiaa jin oupaaee ||,rMgI rMgI BwqI kir kir ijnsI mwieAw ijin aupweI ],114
kar kar dhaekhai keethaa aapanaa jio this dhee vaddiaaee ||,kir kir dyKY kIqw Awpxw ijau iqs dI vifAweI ],120
jo this bhaavai soee karasee fir hukam n karanaa jaaee ||,jo iqsu BwvY soeI krsI iPir hukmu n krxw jweI ],125
so paathisaahu saahaa pathisaahib naanak rehan rajaaee ||1||,so pwiqswhu swhw piqswihbu nwnk rhxu rjweI ]1],131
aasaa mehalaa 1 ||,Awsw mhlw 1 ],136
sun vaddaa aakhai sabh koe ||,suix vfw AwKY sBu koie ],138
kaevadd vaddaa ddeet(h)aa hoe ||,kyvfu vfw fITw hoie ],141
keemath paae n kehiaa jaae ||,kImiq pwie n kihAw jwie ],143
kehanai vaalae thaerae rehae samaae ||1||,khxY vwly qyry rhy smwie ]1],146
vaddae maerae saahibaa gehir ga(n)bheeraa gunee geheeraa ||,vfy myry swihbw gihr gMBIrw guxI ghIrw ],149
koe n jaanai thaeraa kaethaa kaevadd cheeraa ||1||,koie n jwxY qyrw kyqw kyvfu cIrw ]1] rhwau ],154
rehaao || sabh surathee mil surath kamaaee ||,siB surqI imil suriq kmweI ],158
sabh keemath mil keemath paaee ||,sB kImiq imil kImiq pweI ],161
giaanee dhhiaanee gur gurehaaee ||,igAwnI iDAwnI gur gurhweI ],163
kehan n jaaee thaeree thil vaddiaaee ||2||,khxu n jweI qyrI iqlu vifAweI ]2],166
sabh sath sabh thap sabh cha(n)giaaeeaa ||,siB sq siB qp siB cMigAweIAw ],169
sidhhaa purakhaa keeaa vaddiaaeeaa ||,isDw purKw kIAw vifAweIAw ],172
thudhh vin sidhhee kinai n paaeeaa ||,quDu ivxu isDI iknY n pweIAw ],175
karam milai naahee t(h)aak rehaaeeaa ||3||,krim imlY nwhI Twik rhweIAw ]3],178
aakhan vaalaa kiaa vaechaaraa ||,AwKx vwlw ikAw vycwrw ],181
sifathee bharae thaerae bha(n)ddaaraa ||,isPqI Bry qyry BMfwrw ],184
jis thoo dhaehi thisai kiaa chaaraa ||,ijsu qU dyih iqsY ikAw cwrw ],186
naanak sach savaaranehaaraa,nwnk scu svwrxhwrw ]4]2],189
aasaa mehalaa 1 ||,Awsw mhlw 1 ],192
aakhaa jeevaa visarai mar jaao ||,AwKw jIvw ivsrY mir jwau ],194
aakhan aoukhaa saachaa naao ||,AwKix AauKw swcw nwau ],197
saachae naam kee laagai bhookh ||,swcy nwm kI lwgY BUK ],200
outh bhookhai khaae chaleeahi dhookh ||1||,auqu BUKY Kwie clIAih dUK ]1],203
so kio visarai maeree maae ||,so ikau ivsrY myrI mwie ],206
saachaa saahib saachai naae ||1||,swcw swihbu swcY nwie ]1] rhwau ],209
rehaao || saachae naam kee thil vaddiaaee ||,swcy nwm kI iqlu vifAweI ],212
aakh thhakae keemath nehee paaee ||,AwiK Qky kImiq nhI pweI ],215
jae sabh mil kai aakhan paahi ||,jy siB imil kY AwKx pwih ],218
vaddaa n hovai ghaatt n jaae ||2||,vfw n hovY Gwit n jwie ]2],221
naa ouhu marai n hovai sog ||,nw Ehu mrY n hovY sogu ],223
dhaedhaa rehai n chookai bhog ||,dydw rhY n cUkY Bogu ],227
gun eaeho hor naahee koe ||,guxu eyho horu nwhI koie ],229
naa ko hoaa naa ko hoe ||3||,nw ko hoAw nw ko hoie ]3],232
jaevadd aap thaevadd thaeree dhaath ||,jyvfu Awip qyvf qyrI dwiq ],235
jin dhin kar kai keethee raath ||,ijin idnu kir kY kIqI rwiq ],238
khasam visaarehi thae kamajaath ||,Ksmu ivswrih qy kmjwiq ],241
naanak naavai baajh sanaath ||4||3|| raag goojaree mehalaa 4 ||,nwnk nwvY bwJu snwiq ]4]3] rwgu gUjrI mhlw 4 ],244
har kae jan sathigur sathapurakhaa bino karo gur paas ||,hir ky jn siqgur sqpurKw ibnau krau gur pwis ],248
ham keerae kiram sathigur saranaaee kar dhaeiaa naam paragaas ||1||,hm kIry ikrm siqgur srxweI kir dieAw nwmu prgwis]1],253
maerae meeth guradhaev mo ko raam naam paragaas ||,myry mIq gurdyv mo kau rwm nwmu prgwis ],259
guramath naam maeraa praan sakhaaee har keerath hamaree reharaas ||1||,gurmiq nwmu myrw pRwn sKweI hir kIriq hmrI rhrwis]1],264
