English,Punjabi
raamkalee mehlaa 3 anand, rwmklI mhlw 3 Anµdu  
ik-oNkaar satgur parsaad., <> siqgur pRswid ] 
anand bha-i-aa mayree maa-ay satguroo mai paa-i-aa., Anµdu BieAw myrI mwey siqgurU mY pwieAw ] 
satgur ta paa-i-aa sahj saytee man vajee-aa vaaDhaa-ee-aa., siqguru q pwieAw shj syqI min vjIAw vwDweIAw ] 
raag ratan parvaar paree-aa sabad gaavan aa-ee-aa., rwg rqn prvwr prIAw sbd gwvx AweIAw ] 
sabdo ta gaavhu haree kayraa man jinee vasaa-i-aa., sbdo q gwvhu hrI kyrw min ijnI vswieAw ] 
kahai naanak anand ho-aa satguroo mai paa-i-aa. ||1||, khY nwnku Anµdu hoAw siqgurU mY pwieAw ]1] 
ay man mayri-aa too sadaa rahu har naalay., ey mn myirAw qU sdw rhu hir nwly ] 
har naal rahu too man mayray dookh sabh visaarnaa., hir nwil rhu qU mMn myry dUK siB ivswrxw ] 
angeekaar oh karay tayraa kaaraj sabh savaarnaa., AMgIkwru Ehu kry qyrw kwrj siB svwrxw ] 
sabhnaa galaa samrath su-aamee so ki-o manhu visaaray., sBnw glw smrQu suAwmI so ikau mnhu ivswry ] 
kahai naanak man mayray sadaa rahu har naalay. ||2||, khY nwnku mMn myry sdw rhu hir nwly ]2] 
saachay saahibaa ki-aa naahee ghar tayrai., swcy swihbw ikAw nwhI Gir qyrY ] 
ghar ta tayrai sabh kichh hai jis deh so paav-ay., Gir q qyrY sBu ikCu hY ijsu dyih su pwvey ] 
sadaa sifat salaah tayree naam man vasaava-ay., sdw isPiq slwh qyrI nwmu min vswvey ] 
naam jin kai man vasi-aa vaajay sabad ghanayray., nwmu ijn kY min visAw vwjy sbd Gnyry ] 
kahai naanak sachay saahib ki-aa naahee ghar tayrai. ||3||, khY nwnku scy swihb ikAw nwhI Gir qyrY ]3] 
saachaa naam mayraa aaDhaaro., swcw nwmu myrw AwDwro ] 
saach naam aDhaar mayraa jin bhukhaa sabh gavaa-ee-aa., swcu nwmu ADwru myrw ijin BuKw siB gvweIAw ] 
kar saaNt sukh man aa-ay vasi-aa jin ichhaa sabh pujaa-ee-aa., kir sWiq suK min Awie visAw ijin ieCw siB pujweIAw ] 
sadaa kurbaan keetaa guroo vitahu jis dee-aa ayhi vadi-aa-ee-aa., sdw kurbwxu kIqw gurU ivthu ijs dIAw eyih vifAweIAw ] 
kahai naanak sunhu santahu sabad Dharahu pi-aaro., khY nwnku suxhu sMqhu sbid Drhu ipAwro ] 
saachaa naam mayraa aaDhaaro. ||4||, swcw nwmu myrw AwDwro ]4] 
vaajay panch sabad tit ghar sabhaagai., vwjy pMc sbd iqqu Gir sBwgY ] 
ghar sabhaagai sabad vaajay kalaa jit ghar Dhaaree-aa., Gir sBwgY sbd vwjy klw ijqu Gir DwrIAw ] 
panch doot tuDh vas keetay kaal kantak maari-aa., pMc dUq quDu vis kIqy kwlu kMtku mwirAw ] 
Dhur karam paa-i-aa tuDh jin ka-o se naam har kai laagay., Duir krim pwieAw quDu ijn kau is nwim hir kY lwgy ] 
kahai naanak tah sukh ho-aa tit ghar anhad vaajay. ||5||, khY nwnku qh suKu hoAw iqqu Gir Anhd vwjy ]5] 
saachee livai bin dayh nimaanee., swcI ilvY ibnu dyh inmwxI ] 
dayh nimaanee livai baajhahu ki-aa karay vaychaaree-aa., dyh inmwxI ilvY bwJhu ikAw kry vycwrIAw ] 
tuDh baajh samrath ko-ay naahee kirpaa kar banvaaree-aa., quDu bwJu smrQ koie nwhI ik®pw kir bnvwrIAw ] 
ays na-o hor thaa-o naahee sabad laag savaaree-aa., eys nau horu Qwau nwhI sbid lwig svwrIAw ] 
kahai naanak livai baajhahu ki-aa karay vaychaaree-aa. ||6||, khY nwnku ilvY bwJhu ikAw kry vycwrIAw ]6] 
aanand aanand sabh ko kahai aanand guroo tay jaani-aa., Awnµdu Awnµdu sBu ko khY Awnµdu gurU qy jwixAw ] 
jaani-aa aanand sadaa gur tay kirpaa karay pi-aari-aa., jwixAw Awnµdu sdw gur qy ik®pw kry ipAwirAw ] 
kar kirpaa kilvikh katay gi-aan anjan saari-aa., kir ikrpw iklivK kty igAwn AMjnu swirAw ] 
andrahu jin kaa moh tutaa tin kaa sabad sachai savaari-aa., AMdrhu ijn kw mohu qutw iqn kw sbdu scY svwirAw ] 
kahai naanak ayhu anand hai aanand gur tay jaani-aa. ||7||, khY nwnku eyhu Anµdu hY Awnµdu gur qy jwixAw ]7] 
baabaa jis too deh so-ee jan paavai., bwbw ijsu qU dyih soeI jnu pwvY ] 
paavai ta so jan deh jis no hor ki-aa karahi vaychaari-aa., pwvY q so jnu dyih ijs no hoir ikAw krih vycwirAw ] 
ik bharam bhoolay fireh dah dis ik naam laag savaari-aa., ieik Brim BUly iPrih dh idis ieik nwim lwig svwirAw ] 
gur parsaadee man bha-i-aa nirmal jinaa bhaanaa bhaav-ay., gur prswdI mnu BieAw inrmlu ijnw Bwxw Bwvey ] 
kahai naanak jis deh pi-aaray so-ee jan paav-ay. ||8||, khY nwnku ijsu dyih ipAwry soeI jnu pwvey ]8] 
aavhu sant pi-aariho akath kee karah kahaanee., Awvhu sMq ipAwirho AkQ kI krh khwxI ] 
karah kahaanee akath kayree kit du-aarai paa-ee-ai., krh khwxI AkQ kyrI ikqu duAwrY pweIAY ] 
tan man Dhan sabh sa-up gur ka-o hukam mani-ai paa-ee-ai., qnu mnu Dnu sBu sauip gur kau hukim mMinAY pweIAY ] 
hukam mannihu guroo kayraa gaavhu sachee banee., hukmu mMinhu gurU kyrw gwvhu scI bwxI ] 
kahai naanak sunhu santahu kathihu akath kahaanee. ||9||, khY nwnku suxhu sMqhu kiQhu AkQ khwxI ]9] 
ay man chanchlaa chaturaa-ee kinai na paa-i-aa., ey mn cMclw cqurweI iknY n pwieAw ] 
chaturaa-ee na paa-i-aa kinai too sun man mayri-aa., cqurweI n pwieAw iknY qU suix mMn myirAw ] 
ayh maa-i-aa mohnee jin ayt bharam bhulaa-i-aa., eyh mwieAw mohxI ijin eyqu Brim BulwieAw ] 
maa-i-aa ta mohnee tinai keetee jin thag-ulee paa-ee-aa., mwieAw q mohxI iqnY kIqI ijin TgaulI pweIAw ] 
kurbaan keetaa tisai vitahu jin moh meethaa laa-i-aa., kurbwxu kIqw iqsY ivthu ijin mohu mITw lwieAw ] 
kahai naanak man chanchal chaturaa-ee kinai na paa-i-aa. ||10||, khY nwnku mn cMcl cqurweI iknY n pwieAw ]10] 
ay man pi-aari-aa too sadaa sach samaalay., ey mn ipAwirAw qU sdw scu smwly ] 
ayhu kutamb too je daykh-daa chalai naahee tayrai naalay., eyhu kutMbu qU ij dyKdw clY nwhI qyrY nwly ] 
