English,Punjabi
hamri kro hath dai rchcha. pooran hoeh chit ki eichcha.,hmrI kro hwQ dY r`Cw ] pUrn hoie icq kI ie`Cw ]
tav charnan mun rehai hmara. apna jan kro pritipara. (1),qv crnn mn rhY hmwrw ] Apnw jwn kro pRiqpwrw ]1]
hamrai dust sabhai tum ghao aapu hath dai moeh bachavo; ,hmry dust sBY qum Gwvhu ] Awpu hwQ dY moih bcwvhu ]
sukhi basaimoro privara saivak sikh sbhai kartara. (2) ,suKI bsY moro pirvwrw ] syvk is`K sBY krqwrw ]2]
mo rchcha nij kr dai kriye. sabh bairn ko aij sunghriye. ,mo r`Cw inj kr dY kirXY ] sB bYrn ko Awj sMGirXY ]
pooran hoeh hmari aasa. tor bhjan ki rehai piaasa. (3) ,pUrn hoie hmwrI Awsw ] qor Bjn kI rhY ipAwsw ]3]
tumeh chadi koei avr na dhiyaoun jo bar chon so tum tai paoon.,qumih Cwif koeI Avr n iDXwaUN ] jo br choN su qum qy pwaUN ]
saivk sikh hmarai tariaeh chuni chuni strhmarai mariaeh. (4) ,syvk is`K hmwry qwrIAih ] cuin cuin sqR hmwry mwrIAih ]4]
aap hath dai mujhai obriyai mrn kal ka tras nivriaye. ,Awp hwQ dY muJY aubirXY ] mrn kwl kw qRws invirXY ]
hoojo sda hamaraipchcha sri asidhuj joo kriyo rchcha. (5) ,hUjo sdw hmwry p`Cw ] sRI AisDuj jU kirXhu r`Cw ]5]
rakh laiho mohe rakhanharai sahib sant shaeh piyarai ,rwiK lyhu muih rwKnhwry ] swihb sMq shwie ipXwry ]
deen bundhu dustan kai hunta tum ho puri chtur dus kunta. (6) ,dIn bMDu dustn ky hMqw ] qumho purI cqur ds kMqw ]6]
kal paeh brhma bup dhra. kal paeh siv joo avtra. ,kwl pwie bRhmw bpu Drw ] kwl pwie isvjU Avqrw ]
kal paeh kr bisnu prkasa skl kal ka kia tmasa. (7) ,kwl pwie kr ibsnu pRkwsw ] skl kwl kw kIAw qmwsw ]7]
jvan kal jogi siv kio baid raj brahma joo thio,jvn kwl jogI isv kIE ] bydrwj bRhmw jU QIE ]
 jvn kal sabh lok svara nmskar hai taeh hmara. (8) ,jvn kwl sB lok svwrw ] nmskwr hY qwih hmwrw ]8]
jvn kal sabh jagat bnaio dev daint jchchan oopjaio ,jvn kwl sB jgq bnwXo ] dyv dYq j`Cn aupjwXo ]
adi aunti aikai avtara soei guru smjhiayho hmara (9) ,Awid AMiq eykY Avqwrw ] soeI gurU smiJXhu hmwrw ]9]
nmskar tis hi ko hamari skal prja jin aap svari ,nmskwr iqs hI ko hmwrI ] skl pRjw ijn Awp svwrI ]
sivkn ko siv gun sukh dio sttrun ko pul mo bdh kio. (10) ,isvkn ko isvgun suK dIE ] s`qRün ko pl mo bD kIE ]10]
ghat ghat kai antar ki jant bhlai burai ki pir pachant ,Gt Gt ky AMqr kI jwnq ] Bly bury kI pIr pCwnq ]
chiti tai kunchrasthoola sabh par kirpa diristi kar phoola. (11) ,cItI qy kuMcr AsQUlw ] sB pr ik®pw idRsit kr PUlw ]11]
suntun dukh paai tai dukhi sukh paai sadhun kai sukhi,sMqn duK pwey qy duKI ] suK pwey swDn ky suKI ]
 aik aik ki pir pchanain ghat ghat kai put put ki janai. (12) ,eyk eyk kI pIr pCwnYN ] Gt Gt ky pt pt kI jwnYN ]12]
jub oodkrkh kra kartara prja dhrt tab dai apara,jb audkrK krw krqwrw ] pRjw Drq qb dyh Apwrw ]
 jub aakrkh kart ho kabhoon tum mai milat dai dhr sbhhoon (13) ,jb AwkrK krq ho kbhUM ] qum mY imlq dyh Dr sBhUM ]13]
jaitai bdan sirsti sbh dharai aap aapni boojh oocharai ,jyqy bdn isRsit sB DwrY ] Awpu AwpnI bUJ aucwrY ]
tum sabh hi tai reht niralm jant baid bhaid ar aalm (14) ,qum sBhI qy rhq inrwlm ] jwnq byd Byd Ar Awlm ]14]
nirankar niribkar nirmunbh adi anil anadi asunbh ,inrMkwr inRibkwr inrlµB ] Awid AnIl Anwid AsMB ]
ta ka moorh oochrut bhida ja ko bhiv na pavat baida. (15) ,qw kw mUVH aucwrq Bydw ] jw kO Byv n pwvq bydw ]15]
ta ko kar pahn anumant maha moorh kcho bhaid na jant ,qw kO kir pwhn Anumwnq ] mhw mUVH kCu Byd n jwnq ]
mahadaiv ko keht sda siv nirankar ka chint neh bhiv. (16),mhwdyv kO khq sdw isv ] inrMkwr kw cInq nih iBv ]16]
aap aapni budhi hai jaiti barnt bhinun bhinun taiti,Awpu AwpnI buiD hY jyqI ] brnq iBMn iBMn quih qyqI ]
 tumra lkha na jaeh psara keh bidhi prthm sunsara. (17) ,qumrw lKw n jwie pswrw ] ikh ibiD sjw pRQm sMswrw ]17]
aikai roop anoop sroopa runk bhyo rav kehi bhoopa  ,eykY rUp AnUp srUpw ] rMk BXo rwv khI BUpw ]
audj jairj saitj kini ootbhuj khani bhor rchi deeni (18),AMfj jyrj syqj kInI ] auqBuj Kwin bhur ric dInI ]18]
kahoon phool raja hvai baitha kahoon simit bhio sunkr aikaitha ,khUM PUl rwjw hÍY bYTw ] khUM ismit iBÎo sMkr iekYTw ]
sgri sirsti dikhaeh achunbhv adi jugadi sroop suyunbhv. (19) ,sgrI isRsit idKwie AcMBv ] Awid jugwid srUp suXMBv ]19]
ab rchcha mairi tum kro sikh oobari asikh soghro ,Ab r`Cw myrI qum kro ] is`K aubwir Ais`K sMGro ]
dust jitai oothvat ootpata skal mlaich kro run ghata. (20) ,duSt ijqy auTvq auqpwqw ] skl mlyC kro rx Gwqw ]20]
jai asidhuj tav sarni parai tin kai dusht dukhit hvai mrai ,jy AisDuj qv srnI pry ] iqn ky duSt duiKq hÍY mry ]
purkh jvan pug parai tiharai tin kai tum sunkt sabh tarai. (21) ,purK jvn pg pry iqhwry ] iqn ky qum sMkt sB twry ]21]
jo kal ko eik bar dhiaai hai ta kai kal nikti neh aai hai,jo kil ko iek bwr iDAY hY ] qw ky kwl inkit nih AYhY ]
 rchcha hoeh taeh sabh kala dust arist train tatkala. (22) ,r`Cw hoie qwih sB kwlw ] dust Airst tryN qqkwlw ]22]
kirpa diristi tun jaeh nihriho ta kai tap tnak mo herho. ,ik®pw idRsit qn jwih inhirho ] qw ky qwp qnk mo hirho ]
ridhdhi sidhdhi ghar mo sabh hoei dust chah chvai skai na koei. (23) ,ir`iD is`iD Gr mo sB hoeI ] duSt Cwh CÍY skY n koeI ]23]
aik bar jin tumai sunbhara kal phas tai taeh oobara ,eyk bwr ijn qumY sMBwrw ] kwl Pws qy qwih aubwrw ]
jin nar nam tiharo kaha darid dust dokh tai raha. (24) ,ijn nr nwm iqhwro khw ] dwird dust doK qy rhw ]24]
kharag kait mai sarni tehari aap hath dai laio oobari ,KVg kyq mY srix iqhwrI ] Awp hwQ dY lyhu aubwrI ]
sarb thor mo hohu sahaei dust dokh tai laiho bchaei. (25) ,srb TOr mo hohu shweI ] dust doK qy lyhu bcweI ]25]
Kripaa kari ham par jagmaataa|| Granth karaa pooran subh raataa|| ,ikRpw krI hm pr jg mwqw ] gRMQ krw pUrn suB rwqw ]
Kilbikh sakal deh ko hartaa|| Dusht dokhiyan ko chhai kartaa ||26|,iklibK skl dyh ko hrqw ] dust doiKXn ko Cy krqw ]26]
Sri asidhuj jab bhae dayaalaa|| Pooran karaa granth tatkaalaa|| ,sRI AisDuj jb Bey dieAwlw ] pUrn krw gRMQ qqkwlw ]
Man baanchhat phal paavai soee|| Dookh na tisai biaapat koee||27|,mn bWCq Pl pwvY soeI ] dUK n iqsY ibAwpq koeI ]27]
Arhil,AiV`l ]
