English,Punjabi
Ik ongkar satgur parsad.,<> siqgur pRswid ]
Sri waheguru ji ki fateh,sRI vwihgurU jI kI Pqh ]
JAAP,jwpu
siri mukh vak patshahi 10,sRI muKvwk pwiqSwhI 10]
"chapai chund. tav parsad.chakar chehun ar burn, jati ar pati nehun jeh",CpY CMd ] qÍ pRswid ] c`k® ichn Aru brn jwiq Aru pwiq nihn ijh ]
"roop rung ar raikh, bhaikh kohoo keh na skut keh",rUp rMg Aru ryK ByK koaU kih n skiq ikh ]
achul mooret anbho parkas ametoje kehjai,Acl mUriq AnBau pRkws Aimqoij kih`jY ]
koti eindar eindran saho sahan gnejai,koit ieMdR ieMdRwix swhu swhwix gix`jY ]
tirbhavn maheep sur nar asur naiti naiti bun tirun keht,iqRBvx mhIp sur nr Asur nyq nyq bn iqRx khq ]
tav sarb nam kathai kavan karm nam barnt sumati. (1) ,qv srb nwm kQY kvn krm nwm brnq sumiq ]1]
bhujund prayat chhand,BujMg pRXwq CMd ]
"namustvun akalai, namustvun kirpalai",nmsqÍM Akwly ] nmsqÍM ik®pwly ]
"namustvun aroopai, namustvun anoopai (2) ",nmsqM ArUpy ] nmsqM AnUpy ]2]
"namustun abhaikhai, namustun alakhai",nmsqM AByKy ] nmsqM AlyKy ]
"namustun akaey, namustun ajaey. (3) ",nmsqM Akwey ] nmsqM Ajwey ]3]
"nabustun agunjai, namustun abhunjai",nmsqM AgMjy ] nmsqM ABMjy ]
"namustun anamai, namustun athamai. (4) ",nmsqM Anwmy ] nmsqM ATwmy ]4]
"namustun akarmun, namustun adharmun",nmsqM AkrmM ] nmsqM ADrmM ]
"namustun anamun, namustun adhamun. (5) ",nmsqM AnwmM ] nmsqM ADwmM ]5]
"namustun ajitai, namustun abhitai",nmsqM AjIqy ] nmsqM ABIqy ]
"namustun anahai, namustun adhahai. (6) ",nmsqM Abwhy ] nmsqM AFwhy ]6]
"namustun anilai, namustun anadai",nmsqM AnIly ] nmsqM Anwdy ]
"namustun achaidai, namustun aghadhai. (7) ",nmsqM ACydy ] nmsqM AgwDy ]7]
"namustun agunjai, namustun abhunjai ",nmsqM AgMjy ] nmsqM ABMjy ]
"namustun oodharai, namustun aparai (8) ",nmsqM audwry ] nmsqM Apwry ]8]
"namustun so aikai, namustun anaikai",nmsqM su eykY ] nmsqM AnykY ]
"namustun abhootai, namustun ajoopai. (9) ",nmsqM ABUqy ] nmsqM AjUpy ]9]
"namustun nirkarmai, namustun nirbharmai",nmsqM inRkrmy ] nmsqM inRBrmy ]
"namustun nirdeasai, namustun nirbhaisai. (10) ",nmsqM inRdysy ] nmsqM inRBysy ]10]
"namustun nirnamai , namustun nirkamai",nmsqM inRnwmy ] nmsqM inRkwmy ]
"namustun nirdhatai, namustun nirghatai (11) ",nmsqM inRDwqy ] nmsqM inRGwqy ]11]
"namustun nirdhootai, namustun abhootai",nmsqM inRDUqy ] nmsqM ABUqy ]
"namustun alokai, namustun asokai. (12) ",nmsqM Aloky ] nmsqM Asoky ]12]
"namustun nirtapai, namustun athapai",nmsqM inRqwpy ] nmsqM AQwpy ]
"namustun tirmanai, namustun nidhanai. (13) ",nmsqM iqRmwny ] nmsqM inDwny ]13]
"namustun aghahai, namustun athahai",nmsqM Agwhy ] nmsqM Abwhy ]
"namustun tirbargai, namustun asargai. (14) ",nmsqM iqRbrgy ] nmsqM Asrgy ]14]
"namustun parbhogai, namustun sojogai",nmsqM pRBogy ] nmsqM sujogy ]
"namustun arungai, namustun abhungai. (15) ",nmsqM ArMgy ] nmsqM ABMgy ]15]
"namustun aghumai, namustsat rumai",nmsqM AgMmy ] nmsqsqu rMmy ]
"namustun jalasrai, namustun nirasrai. (16) ",nmsqM jlwsry ] nmsqM inrwsry ]16]
"namustun ajatai, namustun apatai",nmsqM Ajwqy ] nmsqM Apwqy ]
"namustun amujbai, namustsut ajabai. (17) ",nmsqM Amjby ] nmsqsqu Ajby ]17]
"adaisun adaisai, namustun abhaisai",AdysM Adysy ] nmsqM ABysy ]
"namustun nirdhamai, namustun nirbamai. (18) ",nmsqM inRDwmy ] nmsqM inRbwmy ]18]
"namo sarb kalai, namo sarb dayalai",nmo srb kwly ] nmo srb idAwly ]
"namo sarb roopai, namo sarb bhoopai. (19) ",nmo srb rUpy ] nmo srb BUpy ]19]
"namo sarb khapai, namo sarb thapai",nmo srb Kwpy ] nmo srb Qwpy ]
"namo sarb kalai, namo sarb palai. (20) ",nmo srb kwly ] nmo srb pwly ]20]
"namsatsut devai, namustun abhaivai",nmsqsqu dyvY ] nmsqM AByvY ]
"namustun ajanmai, namustun sobanmai. (21) ",nmsqM Ajnmy ] nmsqM su bnmy ]21]
"namo sarb gounai, namo sarb bhounai",nmo srb gauny ] nmo srb Bauny ]
"namo sarb rungai, namo sarb bhungai. (22) ",nmo srb rMgy ] nmo srb BMgy ]22]
"namo kal kalai, namustst dayalai",nmo kwl kwly ] nmsqsqu idAwly ]
"namustun abarnai, namustun amarnai. (23) ",nmsqM Abrny ] nmsqM Amrny ]23]
"namustun jararung, namustun kirtarun",nmsqM jrwrM ] nmsqM ik®qwrM ]
"namo sarb dhundhai, namo sutt abundhai. (24) ",nmo srb DMDy ] nmo sq AbMDy ]24]
