English,Punjabi
so dar raag aasaa mehlaa 1,so dru rwgu Awsw mhlw 1
ik-onkaar satgur parsaad.,siqgur pRswid ]
so dar tayraa kayhaa so ghar kayhaa jit bahi sarab samaalay.,so dru qyrw kyhw so Gru kyhw ijqu bih srb smwly ]
vaajay tayray naad anayk asankhaa kaytay tayray vaavanhaaray.,vwjy qyry nwd Anyk AsMKw kyqy qyry vwvxhwry ] 
kaytay tayray raag paree si-o kahee-ahi kaytay tayray gaavanhaaray.,kyqy qyry rwg prI isau khIAih kyqy qyry gwvxhwry ] 
gaavan tuDhno pavan paanee baisantar gaavai raajaa Dharam du-aaray.,gwvin quDno pvxu pwxI bYsMqru gwvY rwjw Drmu duAwry ] 
gaavan tuDhno chit gupat likh jaanan likh likh Dharam beechaaray.,gwvin quDno icqu gupqu iliK jwxin iliK iliK Drmu bIcwry ] 
gaavan tuDhno eesar barahmaa dayvee sohan tayray sadaa savaaray.,gwvin quDno eIsru bRhmw dyvI sohin qyry sdw svwry ] 
gaavan tuDhno indar indaraasan baithay dayviti-aa dar naalay.,gwvin quDno ieMdR ieMdRwsix bYTy dyviqAw dir nwly ] 
gaavan tuDhno siDh samaaDhee andar gaavan tuDhno saaDh beechaaray.,gwvin quDno isD smwDI AMdir gwvin quDno swD bIcwry ] 
gaavan tuDhno jatee satee santokhee gaavan tuDhno veer karaaray.,gwvin quDno jqI sqI sMqoKI gwvin quDno vIr krwry ] 
gaavan tuDhno pandit parhan rakheesur jug jug vaydaa naalay.,gwvin quDno pMifq pVin rKIsur jugu jugu vydw nwly ] 
gaavan tuDhno mohnee-aa man mohan surag machh pa-i-aalay.,gwvin quDno mohxIAw mnu mohin surgu mCu pieAwly ] 
gaavan tuDhno ratan upaa-ay tayray athsath tirath naalay.,gwvin quDno rqn aupwey qyry ATsiT qIrQ nwly ] 
gaavan tuDhno joDh mahaabal sooraa gaavan tuDhno khaanee chaaray.,gwvin quDno joD mhwbl sUrw gwvin quDno KwxI cwry ] 
gaavan tuDhno khand mandal barahmandaa kar kar rakhay tayray Dhaaray.,gwvin quDno KMf mMfl bRhmMfw kir kir rKy qyry Dwry ] 
say-ee tuDhno gaavan jo tuDh bhaavan ratay tayray bhagat rasaalay.,syeI quDno gwvin jo quDu Bwvin rqy qyry Bgq rswly ] 
hor kaytay tuDhno gaavan say mai chit na aavan naanak ki-aa beechaaray.,hoir kyqy quDno gwvin sy mY iciq n Awvin nwnku ikAw bIcwry ] 
so-ee so-ee sadaa sach saahib saachaa saachee naa-ee.,soeI soeI sdw scu swihbu swcw swcI nweI ] 
hai bhee hosee jaa-ay na jaasee rachnaa jin rachaa-ee.,hY BI hosI jwie n jwsI rcnw ijin rcweI ] 
rangee rangee bhaatee kar kar jinsee maa-i-aa jin upaa-ee.,rMgI rMgI BwqI kir kir ijnsI mwieAw ijin aupweI ] 
kar kar daykhai keetaa aapnaa ji-o tis dee vadi-aa-ee.,kir kir dyKY kIqw Awpxw ijau iqs dI vifAweI ] 
jo tis bhaavai so-ee karsee fir hukam na karnaa jaa-ee.,jo iqsu BwvY soeI krsI iPir hukmu n krxw jweI ] 
so paatisaahu saahaa patisaahib naanak rahan rajaa-ee. ||1||,so pwiqswhu swhw piqswihbu nwnk rhxu rjweI ]1] 
aasaa mehlaa 1.,Awsw mhlw 1 ]
sun vadaa aakhai sabh ko-ay.,suix vfw AwKY sBu koie ] 
kayvad vadaa deethaa ho-ay.,kyvfu vfw fITw hoie ] 
keemat paa-ay na kahi-aa jaa-ay.,kImiq pwie n kihAw jwie ] 
kahnai vaalay tayray rahay samaa-ay. ||1||,khxY vwly qyry rhy smwie ]1] 
vaday mayray saahibaa gahir gambheeraa gunee gaheeraa.,vfy myry swihbw gihr gMBIrw guxI ghIrw ] 
ko-ay na jaanai tayraa kaytaa kayvad cheeraa. ||1|| rahaa-o.,koie n jwxY qyrw kyqw kyvfu cIrw ]1] rhwau ] 
sabh surtee mil surat kamaa-ee.,siB surqI imil suriq kmweI ] 
sabh keemat mil keemat paa-ee.,sB kImiq imil kImiq pweI ] 
gi-aanee Dhi-aanee gur gurhaa-ee.,igAwnI iDAwnI gur gurhweI ] 
kahan na jaa-ee tayree til vadi-aa-ee. ||2||,khxu n jweI qyrI iqlu vifAweI ]2] 
sabh sat sabh tap sabh chang-aa-ee-aa.,siB sq siB qp siB cMigAweIAw ] 
siDhaa purkhaa kee-aa vadi-aa-ee-aa.,isDw purKw kIAw vifAweIAw ] 
tuDh vin siDhee kinai na paa-ee-aa.,quDu ivxu isDI iknY n pweIAw ] 
karam milai naahee thaak rahaa-ee-aa. ||3||,krim imlY nwhI Twik rhweIAw ]3] 
aakhan vaalaa ki-aa vaychaaraa.,AwKx vwlw ikAw vycwrw ] 
siftee bharay tayray bhandaaraa.,isPqI Bry qyry BMfwrw ] 
jis too deh tisai ki-aa chaaraa.,ijsu qU dyih iqsY ikAw cwrw ] 
naanak sach savaaranhaaraa. ||4||2||,nwnk scu svwrxhwrw ]4]2] 
aasaa mehlaa 1.,Awsw mhlw 1 ]
aakhaa jeevaa visrai mar jaa-o.,AwKw jIvw ivsrY mir jwau ] 
aakhan a-ukhaa saachaa naa-o.,AwKix AauKw swcw nwau ] 
saachay naam kee laagai bhookh.,swcy nwm kI lwgY BUK ] 
ut bhookhai khaa-ay chalee-ahi dookh. ||1||,auqu BUKY Kwie clIAih dUK ]1] 
so ki-o visrai mayree maa-ay.,so ikau ivsrY myrI mwie ] 
saachaa saahib saachai naa-ay. ||1|| rahaa-o.,swcw swihbu swcY nwie ]1] rhwau ] 
saachay naam kee til vadi-aa-ee.,swcy nwm kI iqlu vifAweI ] 
aakh thakay keemat nahee paa-ee.,AwiK Qky kImiq nhI pweI ] 
jay sabh mil kai aakhan paahi.,jy siB imil kY AwKx pwih ] 
vadaa na hovai ghaat na jaa-ay. ||2||,vfw n hovY Gwit n jwie ]2] 
naa oh marai na hovai sog.,nw Ehu mrY n hovY sogu ] 
daydaa rahai na chookai bhog.,dydw rhY n cUkY Bogu ] 
gun ayho hor naahee ko-ay.,guxu eyho horu nwhI koie ] 
naa ko ho-aa naa ko ho-ay. ||3||,nw ko hoAw nw ko hoie ]3] 
jayvad aap tayvad tayree daat.,jyvfu Awip qyvf qyrI dwiq ] 
jin din kar kai keetee raat.,ijin idnu kir kY kIqI rwiq ] 
khasam visaareh tay kamjaat.,Ksmu ivswrih qy kmjwiq ] 
naanak naavai baajh sanaat. ||4||3||,nwnk nwvY bwJu snwiq ]4]3] 
raag goojree mehlaa 4.,rwgu gUjrI mhlw 4 ]
har kay jan satgur satpurkhaa bina-o kara-o gur paas.,hir ky jn siqgur sqpurKw ibnau krau gur pwis ] 
ham keeray kiram satgur sarnaa-ee kar da-i-aa naam pargaas. ||1||,hm kIry ikrm siqgur srxweI kir dieAw nwmu prgwis ]1] 
mayray meet gurdayv mo ka-o raam naam pargaas.,myry mIq gurdyv mo kau rwm nwmu prgwis ] 
gurmat naam mayraa paraan sakhaa-ee har keerat hamree rahraas. ||1|| rahaa-o.,gurmiq nwmu myrw pRwn sKweI hir kIriq hmrI rhrwis ]1] rhwau ] 
har jan kay vad bhaag vadayray jin har har sarDhaa har pi-aas.,hir jn ky vf Bwg vfyry ijn hir hir srDw hir ipAws ] 
har har naam milai tariptaasahi mil sangat gun pargaas. ||2||,hir hir nwmu imlY iqRpqwsih imil sMgiq gux prgwis ]2] 
jin har har har ras naam na paa-i-aa tay bhaagheen jam paas.,ijn hir hir hir rsu nwmu n pwieAw qy BwghIx jm pwis ] 
jo satgur saran sangat nahee aa-ay Dharig jeevay Dharig jeevaas. ||3||,jo siqgur srix sMgiq nhI Awey iDRgu jIvy iDRgu jIvwis ]3] 
jin har jan satgur sangat paa-ee tin Dhur mastak likhi-aa likhaas.,ijn hir jn siqgur sMgiq pweI iqn Duir msqik iliKAw ilKwis ] 
Dhan Dhan satsangat jit har ras paa-i-aa mil jan naanak naam pargaas. ||4||4||,Dnu DMnu sqsMgiq ijqu hir rsu pwieAw imil jn nwnk nwmu prgwis ]4]4] 
raag goojree mehlaa 5.,rwgu gUjrI mhlw 5 ]
kaahay ray man chitvahi udam jaa aahar har jee-o pari-aa.,kwhy ry mn icqvih audmu jw Awhir hir jIau pirAw ] 
sail pathar meh jant upaa-ay taa kaa rijak aagai kar Dhari-aa. ||1||,sYl pQr mih jMq aupwey qw kw irjku AwgY kir DirAw ]1] 
mayray maaDha-o jee satsangat milay so tari-aa.,myry mwDau jI sqsMgiq imly su qirAw ] 
gur parsaad param pad paa-i-aa sookay kaasat hari-aa. ||1|| rahaa-o.,gur prswid prm pdu pwieAw sUky kwst hirAw ]1] rhwau ] 
janan pitaa lok sut banitaa ko-ay na kis kee Dhari-aa.,jnin ipqw lok suq binqw koie n iks kI DirAw ] 
sir sir rijak sambaahay thaakur kaahay man bha-o kari-aa. ||2||,isir isir irjku sMbwhy Twkuru kwhy mn Bau kirAw ]2] 
ooday ood aavai sai kosaa tis paachhai bachray chhari-aa.,aUfy aUif AwvY sY kosw iqsu pwCY bcry CirAw ] 
tin kavan khalaavai kavan chugaavai man meh simran kari-aa. ||3||,iqn kvxu KlwvY kvxu cugwvY mn mih ismrnu kirAw ]3] 
sabh niDhaan das asat sidhaan thaakur kar tal Dhari-aa.,siB inDwn ds Ast isDwn Twkur kr ql DirAw ] 
jan naanak bal bal sad bal jaa-ee-ai tayraa ant na paraavari-aa. ||4||5||,jn nwnk bil bil sd bil jweIAY qyrw AMqu n pwrwvirAw ]4]5] 
raag aasaa mehlaa 4 so purakh,rwgu Awsw mhlw 4 so purKu
ik-oNkaar satgur parsaad.,siqgur pRswid ]
so purakh niranjan har purakh niranjan har agmaa agam apaaraa.,so purKu inrMjnu hir purKu inrMjnu hir Agmw Agm Apwrw ] 
sabh Dhi-aavahi sabh Dhi-aavahi tuDh jee har sachay sirjanhaaraa.,siB iDAwvih siB iDAwvih quDu jI hir scy isrjxhwrw ] 
sabh jee-a tumaaray jee tooN jee-aa kaa daataaraa.,siB jIA qumwry jI qUM jIAw kw dwqwrw ] 
har Dhi-aavahu santahu jee sabh dookh visaaranhaaraa.,hir iDAwvhu sMqhu jI siB dUK ivswrxhwrw ] 
har aapay thaakur har aapay sayvak jee ki-aa naanak jant vichaaraa. ||1||,hir Awpy Twkuru hir Awpy syvku jI ikAw nwnk jMq ivcwrw ]1] 
tooN ghat ghat antar sarab nirantar jee har ayko purakh samaanaa.,qUM Gt Gt AMqir srb inrMqir jI hir eyko purKu smwxw ] 
ik daatay ik bhaykhaaree jee sabh tayray choj vidaanaa.,ieik dwqy ieik ByKwrI jI siB qyry coj ivfwxw ] 
