English,Punjabi
so dhar raag aasaa mehalaa 1 ,so dru rwgu Awsw mhlw 1
ik oankaar sathigur prasaadh ||,<> siqgur pRswid ]
so dhar thaeraa kaehaa so ghar kaehaa jith behi sarab samaalae ||,so dru qyrw kyhw so Gru kyhw ijqu bih srb smwly ]
vaajae thaerae naadh anaek asa(n)khaa kaethae thaerae vaavanehaarae ||,vwjy qyry nwd Anyk AsMKw kyqy qyry vwvxhwry ]
kaethae thaerae raag paree sio keheeahi kaethae thaerae gaavanehaarae ||,kyqy qyry rwg prI isau khIAih kyqy qyry gwvxhwry ]
gaavan thudhhano pavan paanee baisa(n)thar gaavai raajaa dhharam dhuaarae ||,gwvin quDno pvxu pwxI bYsMqru gwvY rwjw Drmu duAwry ]
gaavan thudhhano chith gupath likh jaanan likh likh dhharam beechaarae ||,gwvin quDno icqu gupqu iliK jwxin iliK iliK Drmu bIcwry ]
 gaavan thudhhano eesar brehamaa dhaevee sohan thaerae sadhaa savaarae ||,gwvin quDno eIsru bRhmw dyvI sohin qyry sdw svwry ]
gaavan thudhhano ei(n)dhr ei(n)dhraasan bait(h)ae dhaevathiaa dhar naalae ||,gwvin quDno ieMdR ieMdRwsix bYTy dyviqAw dir nwly ]
gaavan thudhhano sidhh samaadhhee a(n)dhar gaavan thudhhano saadhh beechaarae ||,gwvin quDno isD smwDI AMdir gwvin quDno swD bIcwry ]
gaavan thudhhano jathee sathee sa(n)thokhee gaavan thudhhano veer karaarae ||,gwvin quDno jqI sqI sMqoKI gwvin quDno vIr krwry ]
gaavan thudhhano pa(n)ddith parran rakheesur jug jug vaedhaa naalae ||,gwvin quDno pMifq pVin rKIsur jugu jugu vydw nwly ]
gaavan thudhhano mohaneeaa man mohan surag mashh paeiaalae ||,gwvin quDno mohxIAw mnu mohin surgu mCu pieAwly ]
gaavan thudhhano rathan oupaaeae thaerae at(h)asat(h) theerathh naalae ||,gwvin quDno rqn aupwey qyry ATsiT qIrQ nwly ]
 gaavan thudhhano jodhh mehaabal sooraa gaavan thudhhano khaanee chaarae ||,gwvin quDno joD mhwbl sUrw gwvin quDno KwxI cwry ]
gaavan thudhhano kha(n)dd ma(n)ddal brehama(n)ddaa kar kar rakhae thaerae dhhaarae ||,gwvin quDno KMf mMfl bRhmMfw kir kir rKy qyry Dwry ]
 saeee thudhhano gaavan jo thudhh bhaavan rathae thaerae bhagath rasaalae ||,syeI quDno gwvin jo quDu Bwvin rqy qyry Bgq rswly ]
